Sample no.,X,Y
320,105.14,66.41
321,105.14,66.41
322,105.14,66.41
323,105.14,66.41
324,105.14,66.41
325,105.14,66.41
326,105.14,66.41
327,105.14,66.41
328,105.14,66.41
329,105.14,66.41
330,105.14,66.41
331,105.14,66.41
332,105.14,66.41
333,105.14,66.41
334,105.14,66.41
335,105.14,66.41
336,105.14,66.41
337,105.14,67.27
338,105.14,66.41
339,105.14,66.41
340,105.14,66.41
341,105.14,66.41
342,105.94,66.41
343,105.94,66.41
344,105.94,66.41
345,105.93,65.54
346,105.93,65.54
347,105.93,65.54
348,105.94,66.41
349,106.73,65.55
350,105.94,66.41
351,105.94,66.41
352,105.94,66.41
353,105.94,66.41
354,105.94,66.41
355,105.94,66.41
356,105.14,66.41
357,106.74,66.41
358,106.73,65.55
359,105.94,66.41
360,105.94,66.41
361,106.74,66.41
362,106.74,66.41
363,105.94,66.41
364,105.94,66.41
365,105.94,66.41
366,107.53,64.68
367,106.73,65.55
368,108.33,63.82
369,108.33,63.82
370,109.13,63.82
371,109.92,62.96
372,110.72,62.09
373,112.32,61.23
374,113.92,60.38
375,116.32,59.52
376,121.9,55.22
377,123.5,54.37
378,125.1,52.65
379,126.69,51.8
380,129.09,50.09
381,130.69,48.37
382,133.08,47.52
383,133.88,46.67
384,135.48,45.81
385,137.87,44.96
386,139.47,43.25
387,141.87,41.54
388,144.26,40.68
389,145.85,39.83
390,148.24,38.12
391,149.84,37.26
392,152.21,36.4
393,154.57,36.39
394,156.15,35.53
395,157.74,34.67
396,159.32,33.81
397,160.13,32.95
398,160.13,32.95
399,160.91,32.95
400,160.91,32.95
401,160.93,32.1
402,160.91,32.95
403,160.91,32.95
404,160.91,32.95
405,160.91,32.95
406,160.91,32.95
407,160.91,32.95
408,160.91,32.95
409,161.68,32.94
410,160.91,32.95
411,161.68,32.94
412,161.68,32.94
413,161.68,32.94
414,161.68,32.94
415,161.68,32.94
416,161.68,32.94
417,161.68,32.94
418,160.88,33.79
419,160.91,32.95
420,160.91,32.95
421,160.91,32.95
422,160.91,32.95
423,160.91,32.95
424,161.68,32.94
425,161.68,32.94
426,161.71,32.09
427,162.49,32.08
428,161.73,31.24
429,162.51,31.24
430,161.76,30.4
431,161.76,30.4
432,162.56,29.55
433,162.56,29.55
434,162.56,29.55
435,162.59,28.7
436,163.37,28.69
437,162.59,28.7
438,162.62,27.86
439,162.64,27.01
440,162.64,27.01
441,162.64,27.01
442,163.45,26.16
443,163.45,26.16
444,164.23,26.15
445,164.23,26.15
446,164.23,26.15
447,164.26,25.31
448,164.23,26.15
449,164.23,26.15
450,164.23,26.15
451,164.23,26.15
452,164.23,26.15
453,164.23,26.15
454,165.01,26.14
455,164.23,26.15
456,163.48,25.32
457,164.23,26.15
458,164.23,26.15
459,163.45,26.16
460,163.45,26.16
461,163.45,26.16
462,163.45,26.16
463,163.42,27
464,163.42,27
465,164.2,27
466,163.42,27
467,163.42,27
468,164.2,27
469,164.2,27
470,164.2,27
471,164.2,27
472,164.2,27
473,164.2,27
474,163.42,27
475,163.42,27
476,162.62,27.86
477,162.62,27.86
478,162.59,28.7
479,162.56,29.55
480,161.78,29.55
481,161.76,30.4
482,161.76,30.4
483,161.76,30.4
484,161.76,30.4
485,161.76,30.4
486,161.76,30.4
487,161.76,30.4
488,161.76,30.4
489,162.54,30.39
490,160.98,30.41
